"","X","Encuestadora","psoe","pp","up","cs","vox"
"1",1,"Invymark",0.26,0.03,0.02,-0.1,-0.12
"2",2,"Celeste-Tel",0.82,1.19,-0.21,-0.26,-0.26
"3",3,"NC Report",0.05,1.22,-0.23,-0.76,-0.1
"4",4,"Simple Lógica",-0.83,-1.16,0.25,1.17,0.13
"5",5,"Metroscopia",-0.35,-1.58,0.18,0.58,0.18
"6",6,"electoPanel",-0.77,0.04,-0.03,-0.31,0.11
"7",7,"GAD3",0.75,0.73,-1.02,-0.47,0.03
"8",8,"Sigma Dos",0.1,0.6,0.42,-0.29,0.23
"9",9,"GESOP",-0.05,-1.36,-0.3,0.09,0.3
"10",10,"SocioMétrica",-0.26,-0.78,0.02,0.18,0.68
"11",11,"CIS",1.61,-1.31,0.24,0.48,-0.05
"12",12,"TNS Demoscopia",-0.98,-0.46,-0.02,0,0
"13",13,"Demoscopia Servicios",0.3,1.6,-0.01,-0.05,-0.01
"14",14,"Encuestamos",1.64,-1.14,0.26,0.2,0
"15",15,"IMOP",0.91,-0.6,0.01,-0.04,0
"16",16,"DYM",-0.53,0.06,0.01,0.02,0
"17",17,"KeyData",-0.68,-0.58,-0.05,-0.04,-0.01
"18",18,"CIS (SocioMétrica)",0,-0.02,0,0,-0.01
"19",19,"Redondo & Asociados",-0.02,-0.21,0,0,0
"20",20,"Sondaxe",-0.26,-0.32,0,-0.03,0.03
"21",21,"Hamalgama Métrica",-1.11,0.67,-0.05,0.02,-0.02
"22",22,"Intercampo",2.5,-0.61,0.02,0.08,0
"23",23,"Estudio de Sociología Consultores",0.24,0.71,-0.13,-0.04,0
"24",24,"Netquest",-0.53,-0.43,0.03,-0.06,0
"25",25,"GIPEyOP",0.3,-0.25,0.06,0.04,0
"26",26,"PSOE",2.08,-0.7,0,0.07,-0.1
"27",27,"40dB",-0.51,-1.02,0.02,0,0
"28",28,"Llorente & Cuenca",-0.06,0.37,-0.01,0.09,0
"29",29,"PP",0.21,0.2,0.02,-0.1,0
"30",30,"Ipsos",-0.51,-0.24,-0.01,-0.02,0.04
"31",31,"Hamalgama–Ágora Integral",-0.29,0.24,-0.1,-0.04,0
"32",32,"CIS (Ignacio Varela)",-0.01,0.06,0,-0.01,0
"33",33,"Advice Strategic",-0.12,0.07,0.01,0,0
"34",34,"SyM Consulting",0,0,0,0,0
"35",35,"CIS (El Mundo)",-0.05,-0.22,-0.01,-0.03,0
"36",36,"Podemos",-0.09,-0.78,-0.42,-0.53,0
"37",37,"Top Position",-0.36,0.36,0.13,-0.22,-0.16
"38",38,"CIS (Kiko Llaneras)",0.05,0.07,0.07,-0.02,-0.3
"39",39,"Cs",0.33,-0.35,0,-0.42,0
"40",40,"CIS (Metroscopia)",0.02,0.07,0.01,0.01,0
"41",41,"A+M",0.07,-0.01,-0.04,0,0
"42",42,"IBES",-0.23,0.06,0.12,0,0
"43",43,"Asturbarómetro",0.32,1.35,0,0,0
"44",44,"Feedback",0.31,1.35,0,0,0
"45",45,"GI Internacional",0,0,0,0,0
"46",46,"SW Demoscopia",0,0,0,0,0
"47",47,"CIS (Gravitas)",0,0,0,0,0
"48",48,"El Español",0,0,0,0,0
"49",49,"Target Point",0,0,0,0,0
"50",50,"CIS (Sigma Dos)",0,0,0,0,0
"51",51,"CIS (Dialoga Consultores)",0,0,0,0,0
"52",52,"JJD",0,0,0,0,0
"53",53,"Deimos Estadística",0,0,0,0,0
"54",54,"Tábula V",-0.2,0,0,0,0
"55",55,"Opinión 2000",1.13,0,0,0,0
"56",56,"Noxa",0.5,0,0,0,0
"57",57,"Obradoiro de Socioloxía",0.12,0,0,0,0
"58",58,"CEMOP",0,0,0,0,0
"59",59,"GAD",-0.14,0,0,0,0
"60",60,"Ikerfel",0,0,0,0,0
"61",61,"Opina",1.19,0,0,0,0
"62",62,"Consultores CSA",0,0,0,0,0
"63",63,"ASEP",-0.26,0,0,0,0
"64",64,"Demométrica",0.86,0,0,0,0
"65",65,"Demo Ibérica",-0.53,0,0,0,0
"66",66,"Intereconomía",-2.03,0,0,0,0
