"","period","dias_rest","Cs","Más País","PP","PSOE","Unidas Podemos","Vox","Cs.Enc","PP.Enc","PSOE.Enc","Unidas Podemos.Enc","Vox.Enc","Más País.Enc","IZQ","DCH","Otros","IZQ.Enc","DCH.Enc","Otros.Enc"
"1",2020-01-01,1439,5.6,2,20.8,27,13.7,15.7,NA,NA,NA,NA,NA,NA,42.7,42.1,15.2,NA,NA,NA
"2",2020-01-02,1438,5.6,2,20.6,27,13.7,15.9,4.9,19.5,26.9,13.3,18.6,2.6,42.7,42.1,15.2,42.8,43,14.2
"3",2020-01-02,1438,5.6,2,20.6,27,13.7,15.9,6.6,19.9,26.8,14.2,16.7,1.8,42.7,42.1,15.2,42.8,43.2,14
"4",2020-01-03,1437,5.6,2,20.6,27,13.7,15.9,NA,NA,NA,NA,NA,NA,42.7,42.1,15.2,NA,NA,NA
"5",2020-01-04,1436,5.6,2,20.6,27,13.7,15.9,NA,NA,NA,NA,NA,NA,42.7,42.1,15.2,NA,NA,NA
"6",2020-01-05,1435,5.6,2,20.7,27.1,13.7,15.9,NA,NA,NA,NA,NA,NA,42.7,42.2,15.1,NA,NA,NA
"7",2020-01-06,1434,5.6,2,20.7,27.1,13.7,15.9,NA,NA,NA,NA,NA,NA,42.7,42.2,15.1,NA,NA,NA
"8",2020-01-07,1433,5.6,2,20.7,27.1,13.7,15.9,NA,NA,NA,NA,NA,NA,42.7,42.2,15.1,NA,NA,NA
"9",2020-01-08,1432,5.6,2,20.6,27,13.7,16,6.8,19.1,26.6,14,17.1,1.8,42.7,42.1,15.2,42.4,43,14.6
"10",2020-01-09,1431,5.6,2,20.5,27,13.7,16,6.1,20.3,27,13.9,16.4,2,42.7,42.1,15.2,42.9,42.8,14.3
"11",2020-01-10,1430,5.8,1.9,20.7,27,13.7,15.9,7.9,20.3,26.5,15.5,14.4,NA,42.7,42.4,14.9,NA,42.6,NA
"12",2020-01-10,1430,5.8,1.9,20.7,27,13.7,15.9,4,20.7,29.9,13.3,16.4,1.9,42.7,42.4,14.9,45.1,41.1,13.8
"13",2020-01-10,1430,5.8,1.9,20.7,27,13.7,15.9,7.3,23.2,26.3,12.4,15,1.5,42.7,42.4,14.9,40.2,45.5,14.3
"14",2020-01-11,1429,5.8,1.9,20.7,27,13.7,15.9,NA,NA,NA,NA,NA,NA,42.7,42.4,14.9,NA,NA,NA
"15",2020-01-12,1428,5.7,1.9,20.6,27.1,13.7,16,NA,NA,NA,NA,NA,NA,42.7,42.3,15,NA,NA,NA
"16",2020-01-13,1427,5.7,1.9,20.7,27.2,13.7,15.8,6.5,19.9,30.4,13.8,13.4,1.8,42.8,42.2,15,46,39.8,14.2
"17",2020-01-14,1426,5.7,1.9,20.6,27.2,13.7,15.8,NA,NA,NA,NA,NA,NA,42.8,42.2,15,NA,NA,NA
"18",2020-01-15,1425,5.7,1.9,20.6,27.1,13.7,15.9,7.2,19.1,26.4,14,16.9,1.8,42.8,42.2,15,42.2,43.2,14.6
"19",2020-01-16,1424,5.7,1.9,20.6,27.1,13.7,15.9,NA,NA,NA,NA,NA,NA,42.8,42.2,15,NA,NA,NA
"20",2020-01-17,1423,5.6,1.9,20.6,27.2,13.7,15.9,3.8,20.2,30.3,13.6,16.6,NA,42.9,42.1,15,NA,40.6,NA
"21",2020-01-17,1423,5.6,1.9,20.6,27.2,13.7,15.9,5.4,22.1,26.7,13.4,16.1,1.8,42.9,42.1,15,41.9,43.6,14.5
"22",2020-01-18,1422,5.6,1.9,20.6,27.3,13.7,15.9,5.5,21.2,27.7,12.5,16.3,2.1,42.9,42.2,14.9,42.3,43,14.7
"23",2020-01-19,1421,5.6,1.9,20.6,27.3,13.7,15.9,NA,NA,NA,NA,NA,NA,42.9,42.2,14.9,NA,NA,NA
"24",2020-01-20,1420,5.6,1.9,20.7,27.3,13.7,15.9,NA,NA,NA,NA,NA,NA,42.9,42.2,14.9,NA,NA,NA
"25",2020-01-21,1419,5.6,1.9,20.7,27.3,13.7,15.9,5.8,21,27.7,14,15.6,1.8,42.9,42.3,14.8,43.5,42.4,14.1
"26",2020-01-22,1418,5.6,1.9,20.7,27.3,13.7,15.9,NA,NA,NA,NA,NA,NA,42.9,42.3,14.8,NA,NA,NA
