"","polling_firm","pollster","firm","sample_size","fieldwork_date","end_date","e_day","days_left","turnout","lead","PSOE","PP","Vox","Unidas Podemos","Cs","ERC–Sobiranistes","Más País","JxCat","PNV","EH Bildu","CUP","CC–NCa","BNG","NA+","PRC","headline","source"
"1","SocioMétrica/El Español","SocioMétrica","El Español",1100,"26–29 May 2021",2021-05-29,2023-12-10,925,"",1.1,25.4,26.5,16.9,9.3,3.1,3.6,4,2.6,1.7,1.2,0.9,0.4,0.5,0.4,0.2,"El PP sobrepasa por primera vez al PSOE justo cuando Sánchez cumple tres años en el Gobierno","https://www.elespanol.com/espana/politica/20210530/pp-sobrepasa-primera-psoe-sanchez-cumple-gobierno/584942067_0.html"
"2","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1272,"23–28 May 2021",2021-05-28,2023-12-10,926,"",2.5,25.4,27.9,16.7,10.7,3,3.5,3.5,2.3,1.7,1.1,0.9,0.5,0.6,0.4,0.3,"ElectoPanel (30M): subida de PP y Vox, que junto a Foro suman 176 escaños","https://electomania.es/ep30my21/"
"3","DYM/Henneo","DYM","Henneo",1008,"21–24 May 2021",2021-05-24,2023-12-10,930,"",3.6,24.5,28.1,16,9.3,3.4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,"El PP supera por primera vez al PSOE y sumaría mayoría con Vox","https://www.20minutos.es/noticia/4708680/0/pp-supera-primera-vez-psoe-sumaria-mayoria-vox/"
"4","NC Report/La Razón","NC Report","La Razón",1000,"17–22 May 2021",2021-05-22,2023-12-10,932,"64.2",4.2,25.8,30,14.9,9.2,2.9,3.3,3.9,2.3,1.6,1.2,NA,NA,NA,0.4,NA,"El PSOE pierde entre 18 y 20 escaños y baja 2,2 puntos","https://www.larazon.es/espana/20210523/32idgogylngzheveh2msxqwzzq.html"
"5","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1582,"17–22 May 2021",2021-05-22,2023-12-10,932,"",2.1,25.2,27.3,16.4,11,2.9,3.5,3.3,2.4,1.7,1.2,0.9,0.5,0.6,0.4,0.3,"ElectoPanel 22M: caída del PSOE que baja de los 100 escaños. Subida de PP y Vox. Absoluta para la derecha","https://electomania.es/ep22my21/"
"6","Invymark/laSexta","Invymark","laSexta",NA,"17–21 May 2021",2021-05-21,2023-12-10,933,"",0.3,26.9,27.2,18.4,8.2,1.4,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PP repite como primera opción en intención de voto con el 27,2%","https://www.lasexta.com/noticias/nacional/barometro-lasexta-vuelve-ser-segunda-oleada-consecutiva-primera-opcion-intencion-voto-272_2021052360aa4acfcd5e690001ba8f4e.html"
"7","KeyData/Público","KeyData","Público",NA,"20 May 2021",2021-05-20,2023-12-10,934,"68.9",0.8,26.2,27,16.4,10.2,3.5,3.5,3.3,2.2,1.5,1.2,1,0.5,NA,NA,NA,"El PP supera al PSOE aupado por el efecto Ayuso, pero tendría muy difícil formar Gobierno, según las encuestas","https://www.publico.es/politica/encuestas-electorales-pp-supera-psoe-aupado-efecto-ayuso-tendria-dificil-formar-gobierno-encuestas.html"
"8","GAD3/ABC","GAD3","ABC",1202,"12–18 May 2021",2021-05-18,2023-12-10,936,"",5.1,25.4,30.5,13.8,8.3,3.3,3,4.1,2.4,1.8,1.2,1,0.4,0.7,0.4,0.2,"El PP se dispara hasta los 138 escaños y suma mayoría absoluta con Vox","https://www.abc.es/espana/abci-pp-dispara-hasta-138-escanos-y-suma-mayoria-absoluta-202105230219_noticia.html"
"9","Sigma Dos/Antena 3","Sigma Dos","Antena 3",NA,"17 May 2021",2021-05-17,2023-12-10,937,"",4.7,26,30.7,15.7,10,3.1,3,4,2,1.9,NA,NA,NA,NA,NA,NA,"Encuesta elecciones generales: El PP ganaría y Pablo Casado arrebataría la Moncloa a Pedro Sánchez con el apoyo de Vox","https://www.antena3.com/noticias/espana/encuesta-ganaria-elecciones-generales-pablo-casado-arrebataria-moncloa-pedro-sanchez-apoyo-vox_2021051760a1fbe7f0676400010be1ed.html"
"10","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1930,"10–15 May 2021",2021-05-15,2023-12-10,939,"",0.5,26.4,26.9,15.8,10.9,2.9,3.5,2.9,2.4,1.7,1.2,0.9,0.5,0.6,0.4,0.3,"ElectoPanel 16M: el PP, primera fuerza, sorpassa en votos y escaños al PSOE","https://electomania.es/ep16my21/"
"11","Celeste-Tel/Onda Cero","Celeste-Tel","Onda Cero",1100,"10–14 May 2021",2021-05-14,2023-12-10,940,"64.5",2.1,26,28.1,16.2,9.6,2.5,3.2,6,2,1.3,1.1,0.9,0.4,0.6,0.4,0.3,"Estudio electoral de expectiva de voto al Congreso de los Diputados. Ámbito nacional. Mayo de 2021","https://www.celeste-tel.es/wp-content/uploads/2021/05/Bar%C3%B3metro-Electoral-Mensual-Mayo2021.pdf"
"12","CIS","CIS",NA,3814,"4–13 May 2021",2021-05-13,2023-12-10,941,"",4.5,27.9,23.4,13.7,10.4,5.3,3,3.8,1.6,1.1,1.1,0.6,0.3,0.5,0.4,0.2,"Barómetro de mayo 2021 (Estudio nº 3322. Mayo 2021)","http://datos.cis.es/pdf/Es3322marMT_A.pdf"
"13","Simple Lógica","Simple Lógica",NA,1063,"4–12 May 2021",2021-05-12,2023-12-10,942,"65.5",0.2,26,26.2,15.9,8.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intención de voto y valoración de líderes políticos (mayo 2021)","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-mayo-2021/"
"14","Hamalgama Métrica/OKDiario","Hamalgama Métrica","OKDiario",1000,"10–11 May 2021",2021-05-11,2023-12-10,943,"",1.8,25.5,27.3,17.9,9,2.3,3.1,5.9,2.3,1.6,1.3,0.9,0.5,0.6,0.4,0.2,"El 'ciclón' Ayuso dispara al PP por encima del PSOE y le otorga la mayoría absoluta con Vox","https://okdiario.com/espana/ciclon-ayuso-dispara-pp-encima-del-psoe-otorga-mayoria-absoluta-vox-7221232"
"15","NC Report/La Razón","NC Report","La Razón",1000,"4–8 May 2021",2021-05-08,2023-12-10,946,"64.4",0.8,26.1,26.9,17.1,9.9,2.8,3.4,3.7,2.3,1.5,1.3,NA,NA,NA,0.4,NA,"Encuesta NC REPORT: Primer «sorpasso» de Casado a Sánchez","https://www.larazon.es/espana/20210510/jarm5wjkzvantfw42df5eej67q.html"
"16","Invymark/laSexta","Invymark","laSexta",NA,"5–7 May 2021",2021-05-07,2023-12-10,947,"",0.6,26.7,27.3,18.9,7.9,1.2,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro laSexta. El PP se coloca como primera opción en intención de voto por primera vez desde 2018 con el 27,3%","https://www.lasexta.com/noticias/nacional/barometro-lasexta-coloca-como-primera-opcion-intencion-voto-primera-vez-2018-273_2021050860967e9d29c3320001d8dabf.html"
"17","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1000,"5–6 May 2021",2021-05-06,2023-12-10,948,"",4.5,25.7,30.2,15.2,13,3.6,3.1,2,2,1.9,NA,NA,NA,NA,NA,NA,"Ayuso desata un vuelco electoral en España que hunde a Sánchez","https://phantom-elmundo.unidadeditorial.es/4966891d3bf76f2017c0fa736ecee865/resize/473/f/webp/assets/multimedia/imagenes/2021/05/09/16205947132851.png"
"18","Demoscopia y Servicios/ESdiario","Demoscopia y Servicios","ESdiario",1000,"5–6 May 2021",2021-05-06,2023-12-10,948,"",0.6,25.3,25.9,16.9,10.3,2.3,3.4,5.1,2.7,1.6,1.3,1,0.4,0.6,0.4,0.3,"Casado adelanta a Sánchez y alcanza la mayoría absoluta con Vox y Navarra Suma","https://www.esdiario.com/espana/332803556/Casado-adelanta-a-Sanchez-y-alcanza-la-mayoria-absoluta-con-Vox-y-Navarra-Suma.html"
"19","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1825,"4–6 May 2021",2021-05-06,2023-12-10,948,"",1.1,26.9,25.8,16.6,11.4,3.2,3.5,2.1,2.5,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"EP 6M: Subida de Casado, que roza la Moncloa. Peligra el escaño de Arrimadas. Ayuso ganaría y dejaría casi sin opciones a la izquierda","https://electomania.es/ep6m21/"
"20","ElectoPanel/Electomanía","ElectoPanel","Electomanía",4320,"24 Apr–2 May 2021",2021-05-02,2023-12-10,952,"",3.1,27.1,24,16.9,12.3,4,3.6,1.7,2.3,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel Generales (2M – TODO EN ABIERTO): pocos cambios antes del 4M madrileño","https://electomania.es/epgenerales3m21/"
"21","ElectoPanel/Electomanía","ElectoPanel","Electomanía",3125,"18–24 Apr 2021",2021-04-24,2023-12-10,960,"",3.1,27,23.9,16.9,12.5,4,3.6,1.6,2.3,1.6,1.3,0.9,0.5,0.6,0.4,0.3,"ElectoPanel (25A): subida de la izquierda","https://electomania.es/ep25a21/"
